SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1117 Gresham Rd,Plainfield City,NJ,07062-2022,699000,4,2.5,Plainfield City,,,1922,1,,,Active,,,https://www.redfin.com/NJ/Plainfield/1117-Gresham-Rd-07062/home/37997042,GSMLS,3956119,N,Y,40.6272902,-74.4004155
MLS Listing,,Single Family Residential,1162 Francyne Way,Union Twp.,NJ,07083-5800,425000,2,1.5,Union Twp.,,2613,2000,1,,,Active,April-12-2025 12:00 PM,April-12-2025 03:00 PM,https://www.redfin.com/NJ/Union/1162-Francyne-Way-07083/home/38151641,GSMLS,3956106,N,Y,40.7043705,-74.2779684
MLS Listing,,Single Family Residential,525 Trotters Ln,Elizabeth City,NJ,07208-2001,550000,4,2.0,Westminster,,,,1,,,Active,,,https://www.redfin.com/NJ/Elizabeth/525-Trotters-Ln-07208/home/37893385,GSMLS,3956081,N,Y,40.6751153,-74.2215896
MLS Listing,,Single Family Residential,230 HARDING Rd,Scotch Plains Twp.,NJ,07076-1407,999900,4,3.5,Scotch Plains Twp.,,7405,2014,1,,,Active,April-12-2025 01:00 PM,April-12-2025 03:00 PM,https://www.redfin.com/NJ/Scotch-Plains/230-Harding-Rd-07076/home/100387622,GSMLS,3956059,N,Y,40.6617046,-74.3906213
MLS Listing,,Multi-Family (2-4 Unit),427 Boulevard,Westfield Town,NJ,07090-3219,1300000,4,3.0,Westfield Town,,7840,1900,1,,,Active,April-12-2025 01:00 PM,April-12-2025 03:00 PM,https://www.redfin.com/NJ/Westfield/427-Boulevard-07090/home/38179967,GSMLS,3956060,N,Y,40.6481111,-74.3449244
MLS Listing,,Single Family Residential,121 Summit Ct,Westfield,NJ,07090,949000,4,3.5,Westfield,,20565,,1,,,Active,April-12-2025 12:00 PM,April-12-2025 02:00 PM,https://www.redfin.com/NJ/Westfield/121-Summit-Ct-07090/home/38193329,NJMLS,25011362,N,Y,40.6299973,-74.3217851
MLS Listing,,Single Family Residential,20 Allenby Ln,Scotch Plains Twp.,NJ,07076-2422,2088000,5,5.0,Scotch Plains Twp.,7000,49658,2006,1,298,,Active,,,https://www.redfin.com/NJ/Scotch-Plains/20-Allenby-Ln-07076/home/38066225,GSMLS,3955252,N,Y,40.6230062,-74.3794801
MLS Listing,,Single Family Residential,22 Madison Ave,Cranford Twp.,NJ,07016-2431,999000,3,3.5,Cranford Twp.,,13068,1932,1,,,Active,,,https://www.redfin.com/NJ/Cranford/22-Madison-Ave-07016/home/37819918,GSMLS,3955758,N,Y,40.6603381,-74.2956306
MLS Listing,,Condo/Co-op,349 W Grand St Unit 206,Elizabeth City,NJ,07202-1212,400000,3,2.0,Elmora,,2613,,1,,535,Active,,,https://www.redfin.com/NJ/Elizabeth/349-W-Grand-St-07202/unit-206/home/174267444,GSMLS,3953904,N,Y,40.6648628,-74.2291377
MLS Listing,,Single Family Residential,19 Hathaway Dr,New Providence Boro,NJ,07974-1632,1150000,4,2.5,Murray Hill,2210,25700,1956,1,520,,Active,April-10-2025 11:00 AM,April-10-2025 02:00 PM,https://www.redfin.com/NJ/New-Providence/19-Hathaway-Dr-07974/home/37964278,GSMLS,3955559,N,Y,40.6888076,-74.4057077
MLS Listing,,Single Family Residential,303 Harrison Ave,Westfield Town,NJ,07090-2436,1450000,5,2.5,Westfield Town,,7405,1912,1,,,Active,April-12-2025 12:00 PM,April-12-2025 02:00 PM,https://www.redfin.com/NJ/Westfield/303-Harrison-Ave-07090/home/38176615,GSMLS,3955549,N,Y,40.6589273,-74.3472158
